BHK,Area,Is_Resale,Location,Status,Floor,Furnishing,Facing,Bathrooms,Balcony,Price
3.0,900.0,1,thane,Ready to Move,3 out of 27,Unfurnished,East,3.0,1.0,16000000.0
4.0,1820.0,1,thane,Ready to Move,18 out of 27,Semi-Furnished,East,4.0,1.0,42500000.0
2.0,675.0,0,thane,Ready to Move,10 out of 16,Unfurnished,North - East,2.0,1.0,9000000.0
1.0,647.0,0,thane,Ready to Move,5 out of 7,Unfurnished,East,1.0,2.0,3700000.0
2.0,665.0,1,thane,Ready to Move,15 out of 31,Unfurnished,East,2.0,2.0,16500000.0
3.0,870.0,1,thane,Ready to Move,27 out of 27,Semi-Furnished,East,2.0,1.0,12800000.0
3.0,925.0,1,thane,Ready to Move,8 out of 20,Furnished,East,3.0,3.0,17500000.0
1.0,434.0,0,thane,Ready to Move,9 out of 24,Semi-Furnished,North - East,1.0,1.0,4700000.0
4.0,1350.0,1,thane,Ready to Move,16 out of 27,Unfurnished,East,3.0,1.0,32000000.0
2.0,850.0,1,thane,Ready to Move,14 out of 29,Semi-Furnished,East,2.0,2.0,19800000.0
1.0,467.0,1,thane,Ready to Move,12 out of 27,Semi-Furnished,East,2.0,1.0,8300000.0
1.0,440.0,1,thane,Ready to Move,2 out of 7,Furnished,East,2.0,3.0,5400000.0
2.0,639.0,0,thane,Ready to Move,16 out of 38,Unfurnished,East,2.0,1.0,11800000.0
2.0,923.0,1,thane,Ready to Move,2 out of 7,Semi-Furnished,North,2.0,2.0,7000000.0
2.0,620.0,1,thane,Ready to Move,5 out of 7,Semi-Furnished,North,1.0,1.0,11000000.0
2.0,600.0,1,thane,Ready to Move,5 out of 7,Unfurnished,East,2.0,1.0,7800000.0
1.0,380.0,1,thane,Ready to Move,2 out of 7,Unfurnished,East,1.0,1.0,4700000.0
2.0,636.0,1,thane,Ready to Move,10 out of 10,Unfurnished,North - East,2.0,3.0,10000000.0
2.0,600.0,1,thane,Ready to Move,14 out of 17,Unfurnished,North - West,2.0,2.0,7000000.0
2.0,661.0,1,thane,Ready to Move,21 out of 27,Semi-Furnished,East,2.0,1.0,12000000.0
2.0,686.0,1,thane,Ready to Move,5 out of 8,Unfurnished,North,2.0,1.0,5100000.0
3.0,950.0,1,thane,Ready to Move,7 out of 30,Unfurnished,North - East,3.0,2.0,15500000.0
1.0,504.0,1,thane,Ready to Move,6 out of 18,Unfurnished,East,1.0,1.0,3000000.0
2.0,586.0,1,thane,Ready to Move,1 out of 8,Unfurnished,East,2.0,1.0,4300000.0
3.0,1200.0,1,thane,Ready to Move,7 out of 7,Semi-Furnished,East,3.0,1.0,26000000.0
2.0,741.0,1,thane,Ready to Move,4 out of 28,Semi-Furnished,East,2.0,2.0,15500000.0
3.0,1200.0,1,thane,Ready to Move,4 out of 26,Semi-Furnished,East,3.0,3.0,26500000.0
2.0,590.0,1,thane,Ready to Move,7 out of 7,Unfurnished,East,2.0,1.0,6000000.0
3.0,960.0,1,thane,Ready to Move,1 out of 17,Unfurnished,East,3.0,2.0,11000000.0
3.0,1168.0,0,thane,Ready to Move,20 out of 32,Unfurnished,East,3.0,1.0,24000000.0
3.0,920.0,1,thane,Ready to Move,8 out of 27,Unfurnished,East,2.0,2.0,16000000.0
1.0,460.0,1,thane,Ready to Move,2 out of 7,Semi-Furnished,North - East,2.0,1.0,7900000.0
1.0,404.0,1,thane,Ready to Move,8 out of 19,Unfurnished,East,1.0,1.0,4800000.0
